('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         770088 function calls (745963 primitive calls) in 2.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      292    1.115    0.004    1.115    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.150    0.150    0.150    0.150 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.107    0.107    0.108    0.108 {built-in method _socket.getaddrinfo}
        1    0.089    0.089    0.089    0.089 {method 'connect' of '_socket.socket' objects}
        1    0.026    0.026    0.026    0.026 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 4578/233    0.023    0.000    0.067    0.000 _parser.py:512(_parse)
        1    0.022    0.022    0.022    0.022 {method 'split' of 'bytearray' objects}
     2709    0.021    0.000    0.119    0.000 parser.py:301(parse_starttag)
        2    0.021    0.011    0.021    0.011 {method 'truncate' of '_io.BytesIO' objects}
    25217    0.020    0.000    0.020    0.000 {method 'match' of 're.Pattern' objects}
      209    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
 5116/195    0.016    0.000    0.036    0.000 _compiler.py:37(_compile)
        2    0.015    0.008    0.191    0.096 parser.py:134(goahead)
    81251    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
     2709    0.010    0.000    0.015    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
66854/60465    0.010    0.000    0.011    0.000 {built-in method builtins.len}
     2709    0.009    0.000    0.055    0.000 __init__.py:987(handle_starttag)
    300/1    0.008    0.000    2.029    2.029 {built-in method builtins.exec}
  675/669    0.007    0.000    0.062    0.000 {built-in method builtins.__build_class__}
55043/55023    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
     2709    0.007    0.000    0.064    0.000 _htmlparser.py:142(handle_starttag)
     5664    0.007    0.000    0.029    0.000 __init__.py:826(endData)
     8110    0.007    0.000    0.007    0.000 element.py:376(setup)
    26277    0.007    0.000    0.010    0.000 _parser.py:168(__getitem__)
 1136/195    0.006    0.000    0.068    0.000 _parser.py:452(_parse_sub)
     2710    0.006    0.000    0.025    0.000 element.py:1618(__init__)
     2560    0.006    0.000    0.037    0.000 parser.py:379(parse_endtag)
      693    0.006    0.000    0.008    0.000 _compiler.py:243(_optimize_charset)
        1    0.005    0.005    0.053    0.053 dammit.py:128(_populate_class_variables)
    14531    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
3554/3457    0.005    0.000    0.007    0.000 {built-in method __new__ of type object at 0xa44b40}
     8141    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
 5072/385    0.005    0.000    0.009    0.000 _parser.py:178(getwidth)
      250    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    12897    0.004    0.000    0.006    0.000 _parser.py:261(get)
    20559    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     2708    0.004    0.000    0.008    0.000 __init__.py:950(_popToTag)
     1045    0.004    0.000    0.004    0.000 {built-in method posix.stat}
    10813    0.004    0.000    0.007    0.000 _markupbase.py:44(updatepos)
    20601    0.004    0.000    0.004    0.000 _parser.py:240(__next)
     2700    0.004    0.000    0.008    0.000 element.py:1291(__new__)
     2700    0.004    0.000    0.009    0.000 __init__.py:867(object_was_parsed)
     2710    0.004    0.000    0.004    0.000 __init__.py:809(pushTag)
     2710    0.003    0.000    0.027    0.000 _htmlparser.py:204(handle_endtag)
6272/6239    0.003    0.000    0.015    0.000 typing.py:392(inner)
      209    0.003    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    13567    0.003    0.000    0.003    0.000 {built-in method builtins.min}
    14282    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
    14137    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
      475    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     7997    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     2700    0.003    0.000    0.005    0.000 __init__.py:732(string_container)
     6457    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
      209    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
     2709    0.003    0.000    0.003    0.000 __init__.py:786(popTag)
      318    0.003    0.000    0.121    0.000 __init__.py:280(_compile)
    10626    0.002    0.000    0.004    0.000 _parser.py:256(match)
      121    0.002    0.000    0.004    0.000 _compiler.py:467(_get_charset_prefix)
    14950    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
     2709    0.002    0.000    0.009    0.000 parser.py:345(check_for_whole_start_tag)
     2199    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
    11319    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
      209    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
