('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         756622 function calls (732373 primitive calls) in 1.889 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    86090    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
69447/63130    0.008    0.000    0.010    0.000 {built-in method builtins.len}
53245/53241    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
    29596    0.007    0.000    0.011    0.000 _parser.py:168(__getitem__)
    25504    0.004    0.000    0.004    0.000 _parser.py:240(__next)
    25095    0.021    0.000    0.021    0.000 {method 'match' of 're.Pattern' objects}
    19606    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
    16688    0.005    0.000    0.008    0.000 _parser.py:261(get)
    14950    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
    14568    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
    14503    0.003    0.000    0.003    0.000 {built-in method builtins.min}
    14257    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
    13500    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    13227    0.003    0.000    0.004    0.000 _parser.py:256(match)
    12558    0.002    0.000    0.004    0.000 _parser.py:164(__len__)
    10813    0.004    0.000    0.007    0.000 _markupbase.py:44(updatepos)
     9153    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     8504    0.001    0.000    0.001    0.000 typing.py:2154(cast)
     8130    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     8110    0.007    0.000    0.007    0.000 element.py:376(setup)
     7999    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     7465    0.002    0.000    0.003    0.000 _parser.py:176(append)
     6677    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     6195    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     6007    0.002    0.000    0.007    0.000 __init__.py:122(unescape)
5996/5971    0.003    0.000    0.009    0.000 typing.py:392(inner)
     5909    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
5796/5728    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     5664    0.007    0.000    0.033    0.000 __init__.py:826(endData)
     5542    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
 5521/190    0.016    0.000    0.036    0.000 _compiler.py:37(_compile)
 5468/371    0.005    0.000    0.009    0.000 _parser.py:178(getwidth)
 4759/198    0.025    0.000    0.072    0.000 _parser.py:512(_parse)
     4469    0.000    0.000    0.000    0.000 element.py:2219(__bool__)
     4305    0.001    0.000    0.002    0.000 _parser.py:293(tell)
     4251    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3817    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3764    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     3705    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3454    0.001    0.000    0.001    0.000 element.py:2763(descendants)
     3429    0.001    0.000    0.004    0.000 filter.py:717(match)
3369/3343    0.006    0.000    0.007    0.000 {built-in method __new__ of type object at 0xa44b40}
     3157    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2818    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     2733    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     2726    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
     2710    0.004    0.000    0.005    0.000 __init__.py:809(pushTag)
     2710    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     2710    0.007    0.000    0.028    0.000 element.py:1618(__init__)
     2710    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     2710    0.003    0.000    0.031    0.000 _htmlparser.py:204(handle_endtag)
     2709    0.003    0.000    0.003    0.000 __init__.py:786(popTag)
     2709    0.012    0.000    0.017    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     2709    0.010    0.000    0.061    0.000 __init__.py:987(handle_starttag)
     2709    0.002    0.000    0.009    0.000 parser.py:345(check_for_whole_start_tag)
     2709    0.008    0.000    0.072    0.000 _htmlparser.py:142(handle_starttag)
     2709    0.022    0.000    0.131    0.000 parser.py:301(parse_starttag)
     2709    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     2709    0.001    0.000    0.002    0.000 element.py:1812(is_empty_element)
     2708    0.005    0.000    0.009    0.000 __init__.py:950(_popToTag)
     2708    0.003    0.000    0.027    0.000 __init__.py:1053(handle_endtag)
     2700    0.004    0.000    0.010    0.000 __init__.py:867(object_was_parsed)
     2700    0.003    0.000    0.005    0.000 __init__.py:732(string_container)
     2700    0.005    0.000    0.010    0.000 element.py:1291(__new__)
     2603    0.001    0.000    0.002    0.000 _htmlparser.py:222(handle_data)
     2599    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     2560    0.007    0.000    0.041    0.000 parser.py:379(parse_endtag)
     2560    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     2541    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
     2339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2236    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2200    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
     1984    0.002    0.000    0.004    0.000 __init__.py:91(_replace_charref)
     1759    0.001    0.000    0.003    0.000 filter.py:538(matches_tag)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1643    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1441    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1437    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     1408    0.002    0.000    0.002    0.000 __init__.py:906(_linkage_fixer)
     1363    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1273    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
 1270/190    0.006    0.000    0.073    0.000 _parser.py:452(_parse_sub)
     1232    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     1090    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1090    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1057    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
     1042    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1005    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     1005    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      973    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      942    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      928    0.000    0.000    0.001    0.000 typing.py:1134(_is_dunder)
      901    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      901    0.006    0.000    0.009    0.000 _compiler.py:243(_optimize_charset)
