('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         756817 function calls (732534 primitive calls) in 7.220 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.112    5.112    5.112    5.112 {built-in method time.sleep}
      294    1.316    0.004    1.316    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.121    0.121    0.121    0.121 {method 'connect' of '_socket.socket' objects}
        1    0.094    0.094    0.094    0.094 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.026    0.026    0.026    0.026 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 4759/198    0.026    0.000    0.075    0.000 _parser.py:512(_parse)
    25095    0.026    0.000    0.026    0.000 {method 'match' of 're.Pattern' objects}
     2709    0.024    0.000    0.152    0.000 parser.py:301(parse_starttag)
        2    0.020    0.010    0.244    0.122 parser.py:134(goahead)
        1    0.020    0.020    0.020    0.020 {built-in method _socket.getaddrinfo}
 5521/190    0.017    0.000    0.039    0.000 _compiler.py:37(_compile)
      166    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
     2709    0.014    0.000    0.071    0.000 __init__.py:987(handle_starttag)
     2709    0.013    0.000    0.020    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
    86124    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
        1    0.010    0.010    0.010    0.010 models.py:909(text)
69515/63164    0.009    0.000    0.010    0.000 {built-in method builtins.len}
     5664    0.008    0.000    0.041    0.000 __init__.py:826(endData)
     2709    0.008    0.000    0.082    0.000 _htmlparser.py:142(handle_starttag)
3369/3343    0.008    0.000    0.009    0.000 {built-in method __new__ of type object at 0xa44b40}
     8110    0.008    0.000    0.008    0.000 element.py:376(setup)
53279/53275    0.007    0.000    0.008    0.000 {built-in method builtins.isinstance}
    14257    0.007    0.000    0.007    0.000 {method 'group' of 're.Match' objects}
    29630    0.007    0.000    0.011    0.000 _parser.py:168(__getitem__)
     2710    0.007    0.000    0.032    0.000 element.py:1618(__init__)
     2700    0.007    0.000    0.015    0.000 element.py:1291(__new__)
     8130    0.007    0.000    0.007    0.000 {method 'search' of 're.Pattern' objects}
     2560    0.007    0.000    0.047    0.000 parser.py:379(parse_endtag)
  542/537    0.007    0.000    0.060    0.000 {built-in method builtins.__build_class__}
      901    0.007    0.000    0.010    0.000 _compiler.py:243(_optimize_charset)
 1270/190    0.006    0.000    0.075    0.000 _parser.py:452(_parse_sub)
       38    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    16688    0.006    0.000    0.008    0.000 _parser.py:261(get)
 5468/371    0.005    0.000    0.009    0.000 _parser.py:178(getwidth)
     2708    0.005    0.000    0.009    0.000 __init__.py:950(_popToTag)
    10813    0.005    0.000    0.008    0.000 _markupbase.py:44(updatepos)
     2700    0.005    0.000    0.011    0.000 __init__.py:867(object_was_parsed)
     2710    0.004    0.000    0.006    0.000 __init__.py:809(pushTag)
      9/7    0.004    0.000    0.005    0.001 {built-in method _imp.create_dynamic}
    25504    0.004    0.000    0.004    0.000 _parser.py:240(__next)
    19606    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
    14568    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     2200    0.004    0.000    0.004    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.004    0.004    0.043    0.043 dammit.py:128(_populate_class_variables)
       11    0.004    0.000    0.458    0.042 {method 'join' of 'bytes' objects}
     2710    0.004    0.000    0.036    0.000 _htmlparser.py:204(handle_endtag)
     7999    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
5996/5971    0.004    0.000    0.010    0.000 typing.py:392(inner)
      864    0.003    0.000    0.003    0.000 {built-in method posix.stat}
     2700    0.003    0.000    0.006    0.000 __init__.py:732(string_container)
    13500    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
      224    0.003    0.000    0.449    0.002 {method 'read' of '_io.BufferedReader' objects}
    13227    0.003    0.000    0.004    0.000 _parser.py:256(match)
    14503    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     2709    0.003    0.000    0.004    0.000 __init__.py:786(popTag)
    14950    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
    12592    0.003    0.000    0.004    0.000 _parser.py:164(__len__)
     1984    0.003    0.000    0.004    0.000 __init__.py:91(_replace_charref)
     2709    0.003    0.000    0.013    0.000 parser.py:345(check_for_whole_start_tag)
      417    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     2708    0.002    0.000    0.032    0.000 __init__.py:1053(handle_endtag)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      732    0.002    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
      166    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
      166    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       16    0.002    0.000    0.004    0.000 enum.py:1708(convert_class)
      304    0.002    0.000    0.129    0.000 __init__.py:280(_compile)
