id;peer;task;date
1;mvazvelhwy;AP4;20/04/2022
2;mvazvelhwy;CPP3;01/08/2022
3;mvazvelhwy;AP1;12/08/2022
4;wsiwgwornx;C5;29/06/2020
5;wsiwgwornx;CPP8;21/04/2022
6;wsiwgwornx;CPP5;14/11/2021
7;wsiwgwornx;A2;09/01/2020
8;wsiwgwornx;A3;03/05/2020
9;wsiwgwornx;A7;26/07/2020
10;iosfiypdje;CPP7;18/04/2020
11;iosfiypdje;A5;31/08/2022
12;iosfiypdje;AP6;10/10/2022
13;iosfiypdje;A7;06/08/2022
14;gdlzzcthpd;AP4;29/03/2022
15;gdlzzcthpd;A5;12/03/2022
16;gdlzzcthpd;SQL2;07/02/2021
17;gdlzzcthpd;A7;26/12/2022
18;gdlzzcthpd;A8;17/01/2020
19;gdlzzcthpd;A6;09/09/2020
20;gdlzzcthpd;C2;24/09/2021
21;gdlzzcthpd;CPP4;01/10/2020
22;gdlzzcthpd;DO2;10/06/2022
23;iosfiypdje;A4;29/10/2021
24;iosfiypdje;CPP1;20/08/2020
25;iosfiypdje;A3;11/09/2022
26;iosfiypdje;A5;12/11/2022
27;iosfiypdje;A2;28/11/2022
28;iosfiypdje;AP6;20/02/2022
29;iosfiypdje;DO5;06/04/2020
30;ppferfnjmd;CPP7;15/08/2021
31;ppferfnjmd;C4;24/06/2021
32;ppferfnjmd;DO3;20/11/2020
33;ppferfnjmd;A5;03/04/2020
34;ppferfnjmd;C1;23/11/2022
35;ppferfnjmd;SQL2;07/01/2023
36;ppferfnjmd;C5;04/04/2021
37;ppferfnjmd;A4;10/07/2021
38;wbbmjueeye;C4;23/06/2022
39;wbbmjueeye;C2;04/04/2021
40;wbbmjueeye;AP1;30/03/2020
41;wbbmjueeye;CPP2;24/11/2021
42;wbbmjueeye;SQL2;27/10/2022
43;wbbmjueeye;AP3;14/07/2020
44;wbbmjueeye;C1;30/06/2022
45;wbbmjueeye;AP5;11/06/2022
46;knbhmawwwm;AP6;10/03/2022
47;knbhmawwwm;DO5;04/05/2020
48;knbhmawwwm;CPP9;16/05/2020
49;knbhmawwwm;DO5;04/11/2020
50;knbhmawwwm;A1;13/07/2020
51;knbhmawwwm;C1;02/11/2021
52;knbhmawwwm;A6;23/05/2021
53;iosfiypdje;A2;04/08/2022
54;iosfiypdje;A2;30/07/2021
55;iosfiypdje;C8;26/12/2021
56;iosfiypdje;CPP9;02/06/2021
57;uuaqguyejn;AP1;20/08/2022
58;uuaqguyejn;SQL3;15/05/2021
59;prbedzugjq;CPP9;10/11/2021
60;prbedzugjq;A4;22/04/2021
61;prbedzugjq;DO4;01/10/2020
62;prbedzugjq;C7;23/04/2020
63;prbedzugjq;DO1;16/07/2022
64;prbedzugjq;CPP4;13/04/2021
65;prbedzugjq;A5;29/06/2022
66;prbedzugjq;C7;08/12/2022
67;ptptrenntj;CPP1;12/12/2022
68;ptptrenntj;CPP5;22/05/2021
69;iosfiypdje;A3;17/09/2022
70;iosfiypdje;AP5;25/07/2021
71;iosfiypdje;CPP6;10/06/2020
72;fwiacqcpjt;C7;13/12/2022
73;fwiacqcpjt;CPP8;04/08/2020
74;fwiacqcpjt;AP2;04/06/2021
75;fwiacqcpjt;C5;29/07/2022
76;fwiacqcpjt;SQL2;19/11/2020
77;fwiacqcpjt;C5;05/05/2020
78;fwiacqcpjt;AP4;11/04/2021
79;fwiacqcpjt;A8;15/10/2020
80;xshctjmsxa;C3;13/02/2021
81;xshctjmsxa;C7;12/02/2022
82;xshctjmsxa;DO2;06/05/2020
83;xshctjmsxa;C5;15/11/2021
84;xshctjmsxa;C6;14/05/2020
85;eoxiilxnhj;DO3;17/02/2021
86;eoxiilxnhj;CPP4;10/09/2021
87;eoxiilxnhj;C8;17/03/2020
88;eoxiilxnhj;AP6;24/10/2020
89;eoxiilxnhj;AP5;04/07/2020
90;eoxiilxnhj;C1;09/04/2022
91;eoxiilxnhj;A8;03/12/2021
