[2026-03-06 15:47:36] character.py:68 INFO    : Character initialized: nickname=dfs
[2026-03-06 15:47:36] room.py:56 INFO    : Room initialized: id=0
[2026-03-06 15:47:36] room.py:56 INFO    : Room initialized: id=1
[2026-03-06 15:47:36] room.py:56 INFO    : Room initialized: id=2
[2026-03-06 15:47:36] room.py:56 INFO    : Room initialized: id=3
[2026-03-06 15:47:36] room.py:56 INFO    : Room initialized: id=4
[2026-03-06 15:47:36] room.py:56 INFO    : Room initialized: id=5
[2026-03-06 15:47:36] room.py:56 INFO    : Room initialized: id=6
[2026-03-06 15:47:36] room.py:56 INFO    : Room initialized: id=7
[2026-03-06 15:47:36] room.py:56 INFO    : Room initialized: id=8
[2026-03-06 15:47:36] level_map.py:96 INFO    : Generating a new corridor: room_id=0, next_id=3, initial_side=D
[2026-03-06 15:47:36] corridor.py:99 INFO    : Generating vertical corridor
[2026-03-06 15:47:36] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:47:36] level_map.py:96 INFO    : Generating a new corridor: room_id=3, next_id=6, initial_side=D
[2026-03-06 15:47:36] corridor.py:99 INFO    : Generating vertical corridor
[2026-03-06 15:47:36] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:47:36] level_map.py:96 INFO    : Generating a new corridor: room_id=3, next_id=4, initial_side=R
[2026-03-06 15:47:36] corridor.py:108 INFO    : Generating horizontal corridor
[2026-03-06 15:47:36] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:47:36] level_map.py:96 INFO    : Generating a new corridor: room_id=4, next_id=5, initial_side=R
[2026-03-06 15:47:36] corridor.py:108 INFO    : Generating horizontal corridor
[2026-03-06 15:47:36] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:47:36] level_map.py:96 INFO    : Generating a new corridor: room_id=4, next_id=1, initial_side=U
[2026-03-06 15:47:36] corridor.py:99 INFO    : Generating vertical corridor
[2026-03-06 15:47:36] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:47:36] level_map.py:96 INFO    : Generating a new corridor: room_id=4, next_id=7, initial_side=D
[2026-03-06 15:47:36] corridor.py:99 INFO    : Generating vertical corridor
[2026-03-06 15:47:36] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:47:36] level_map.py:96 INFO    : Generating a new corridor: room_id=7, next_id=8, initial_side=R
[2026-03-06 15:47:36] corridor.py:108 INFO    : Generating horizontal corridor
[2026-03-06 15:47:36] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:47:36] level_map.py:96 INFO    : Generating a new corridor: room_id=8, next_id=5, initial_side=U
[2026-03-06 15:47:36] corridor.py:99 INFO    : Generating vertical corridor
[2026-03-06 15:47:36] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:47:36] level_map.py:96 INFO    : Generating a new corridor: room_id=5, next_id=2, initial_side=U
[2026-03-06 15:47:36] corridor.py:99 INFO    : Generating vertical corridor
[2026-03-06 15:47:36] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:47:36] room.py:129 INFO    : Character is placed to room id=4
[2026-03-06 15:47:36] room.py:135 INFO    : Exit is placed to room id=0
[2026-03-06 15:47:36] room.py:146 INFO    : Generating enemy in room id=1
[2026-03-06 15:47:36] room.py:146 INFO    : Generating enemy in room id=5
[2026-03-06 15:47:36] room.py:146 INFO    : Generating enemy in room id=6
[2026-03-06 15:47:36] room.py:146 INFO    : Generating enemy in room id=6
[2026-03-06 15:47:36] room.py:146 INFO    : Generating enemy in room id=7
[2026-03-06 15:47:36] room.py:165 INFO    : Generating enemy in room id=0
[2026-03-06 15:47:36] room.py:165 INFO    : Generating enemy in room id=3
[2026-03-06 15:47:36] room.py:162 INFO    : Generating item in room id=5
[2026-03-06 15:47:36] room.py:162 INFO    : Generating item in room id=6
[2026-03-06 15:47:36] room.py:165 INFO    : Generating enemy in room id=8
[2026-03-06 15:47:36] level_map.py:46 INFO    : LevelMap initialized
[2026-03-06 15:48:05] character.py:68 INFO    : Character initialized: nickname=dss
[2026-03-06 15:48:05] room.py:56 INFO    : Room initialized: id=0
[2026-03-06 15:48:05] room.py:56 INFO    : Room initialized: id=1
[2026-03-06 15:48:05] room.py:56 INFO    : Room initialized: id=2
[2026-03-06 15:48:05] room.py:56 INFO    : Room initialized: id=3
[2026-03-06 15:48:05] room.py:56 INFO    : Room initialized: id=4
[2026-03-06 15:48:05] room.py:56 INFO    : Room initialized: id=5
[2026-03-06 15:48:05] room.py:56 INFO    : Room initialized: id=6
[2026-03-06 15:48:05] room.py:56 INFO    : Room initialized: id=7
[2026-03-06 15:48:05] room.py:56 INFO    : Room initialized: id=8
[2026-03-06 15:48:05] level_map.py:96 INFO    : Generating a new corridor: room_id=0, next_id=3, initial_side=D
[2026-03-06 15:48:05] corridor.py:99 INFO    : Generating vertical corridor
[2026-03-06 15:48:05] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:48:05] level_map.py:96 INFO    : Generating a new corridor: room_id=3, next_id=6, initial_side=D
[2026-03-06 15:48:05] corridor.py:99 INFO    : Generating vertical corridor
[2026-03-06 15:48:05] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:48:05] level_map.py:96 INFO    : Generating a new corridor: room_id=6, next_id=7, initial_side=R
[2026-03-06 15:48:05] corridor.py:108 INFO    : Generating horizontal corridor
[2026-03-06 15:48:05] corridor.py:70 INFO    : Corridor initialized
[2026-03-06 15:48:05] level_map.py:96 INFO    : Generating a new corridor: room_id=7, next_id=8, initial_side=R
[2026-03-06 15:48:05] corridor.py:108 INFO    : Generating horizontal corridor
[2026-03-06 15:48:05] corridor.py:70 INFO    : Corridor initialized
